Fecha / Hora;promedio;máx;mín
2024-12-19 12:40:00;26,87;26,91;26,84
2024-12-19 12:30:00;26,72;26,81;26,64
2024-12-19 12:20:00;26,2;26,28;26,13
2024-12-19 12:10:00;25,88;25,99;25,78
2024-12-19 12:00:00;25,51;25,52;25,51
2024-12-19 11:50:00;25,55;25,79;25,31
2024-12-19 11:40:00;24,52;24,81;24,23
2024-12-19 11:30:00;24,72;24,79;24,65
2024-12-19 11:20:00;24,27;24,43;24,11
2024-12-19 11:10:00;24,26;24,39;24,13
2024-12-19 11:00:00;24,13;24,36;23,9
2024-12-19 10:50:00;23,67;23,68;23,66
2024-12-19 10:40:00;23,19;23,2;23,18
2024-12-19 10:30:00;23,24;23,48;23
2024-12-19 10:20:00;23,15;23,49;22,82
2024-12-19 10:10:00;22,25;22,34;22,16
2024-12-19 10:00:00;22,16;22,17;22,15
2024-12-19 09:50:00;21,33;21,41;21,26
2024-12-19 09:40:00;20;20,16;19,84
2024-12-19 09:30:00;19,64;19,66;19,62
2024-12-19 09:20:00;19,5;19,51;19,49
2024-12-19 09:10:00;19,35;19,41;19,29
2024-12-19 09:00:00;19,13;19,14;19,13
2024-12-19 08:50:00;19,26;19,27;19,25
2024-12-19 08:40:00;19,1;19,16;19,04
2024-12-19 08:30:00;18,59;18,73;18,45
2024-12-19 08:20:00;18,1;18,26;17,94
2024-12-19 08:10:00;17,63;17,77;17,49
2024-12-19 08:00:00;17,33;17,36;17,3
2024-12-19 07:50:00;17,07;17,15;17
2024-12-19 07:40:00;16,85;16,9;16,8
2024-12-19 07:30:00;16,63;16,65;16,61
2024-12-19 07:20:00;16,63;16,64;16,62
2024-12-19 07:10:00;16,66;16,68;16,64
2024-12-19 07:00:00;16,66;16,67;16,65
2024-12-19 06:50:00;16,66;16,68;16,64
2024-12-19 06:40:00;16,53;16,61;16,46
2024-12-19 06:30:00;16,32;16,35;16,29
2024-12-19 06:20:00;16,31;16,34;16,29
2024-12-19 06:10:00;16,31;16,34;16,28
2024-12-19 06:00:00;16,35;16,37;16,33
2024-12-19 05:50:00;16,35;16,37;16,33
2024-12-19 05:40:00;16,17;16,24;16,1
2024-12-19 05:30:00;16,11;16,12;16,1
2024-12-19 05:20:00;16,07;16,08;16,07
2024-12-19 05:10:00;16,06;16,07;16,05
2024-12-19 05:00:00;15,96;15,98;15,95
2024-12-19 04:50:00;15,96;15,98;15,95
2024-12-19 04:40:00;15,94;15,95;15,93
2024-12-19 04:30:00;15,9;15,92;15,88
2024-12-19 04:20:00;15,81;15,82;15,8
2024-12-19 04:10:00;15,8;15,81;15,79
2024-12-19 04:00:00;15,84;15,84;15,84
2024-12-19 03:50:00;15,79;15,82;15,77
2024-12-19 03:40:00;15,81;15,82;15,81
2024-12-19 03:30:00;15,71;15,75;15,68
2024-12-19 03:20:00;15,73;15,74;15,72
2024-12-19 03:10:00;15,66;15,67;15,66
2024-12-19 03:00:00;15,87;15,94;15,8
2024-12-19 02:50:00;16,01;16,06;15,96
2024-12-19 02:40:00;16;16,02;15,98
2024-12-19 02:30:00;16,07;16,09;16,05
2024-12-19 02:20:00;16,24;16,33;16,15
2024-12-19 02:10:00;16,34;16,37;16,32
2024-12-19 02:00:00;16,47;16,52;16,42
2024-12-19 01:50:00;16,97;17,16;16,78
2024-12-19 01:40:00;17,6;17,75;17,46
2024-12-19 01:30:00;18,38;18,59;18,17
2024-12-19 01:20:00;18,78;18,84;18,72
2024-12-19 01:10:00;18,89;18,96;18,83
2024-12-19 01:00:00;19,16;19,16;19,16
2024-12-19 00:50:00;19,27;19,29;19,25
2024-12-19 00:40:00;19,36;19,44;19,28
2024-12-19 00:30:00;19,54;19,6;19,49
2024-12-19 00:20:00;19,99;20,21;19,77
2024-12-19 00:10:00;20,47;20,6;20,34
2024-12-19 00:00:00;21,26;21,55;20,98
2024-12-18 23:50:00;21,79;21,89;21,7
2024-12-18 23:40:00;21,49;21,77;21,22
2024-12-18 23:30:00;20,98;20,99;20,97
2024-12-18 23:20:00;20,81;20,85;20,77
2024-12-18 23:10:00;20,88;20,96;20,81
2024-12-18 23:00:00;21,16;21,28;21,04
2024-12-18 22:50:00;21,49;21,53;21,45
2024-12-18 22:40:00;21,52;21,55;21,5
2024-12-18 22:30:00;21,91;22,05;21,78
2024-12-18 22:20:00;22,56;22,77;22,36
2024-12-18 22:10:00;22,94;23,19;22,7
2024-12-18 22:00:00;22,71;22,76;22,66
2024-12-18 21:50:00;22,92;23,08;22,77
2024-12-18 21:40:00;22,39;22,41;22,37
2024-12-18 21:30:00;22,4;22,43;22,38
2024-12-18 21:20:00;22,35;22,37;22,34
2024-12-18 21:10:00;22,35;22,38;22,33
2024-12-18 21:00:00;22,43;22,49;22,38
2024-12-18 20:50:00;22,23;22,44;22,03
2024-12-18 20:40:00;21,9;21,94;21,87
2024-12-18 20:30:00;22,35;22,62;22,09
2024-12-18 20:20:00;23,05;23,15;22,95
2024-12-18 20:10:00;23,97;24,22;23,73
2024-12-18 20:00:00;24,68;24,85;24,52
2024-12-18 19:50:00;25,31;25,5;25,13
2024-12-18 19:40:00;25,94;26,09;25,8
2024-12-18 19:30:00;26,67;26,84;26,51
2024-12-18 19:20:00;27,19;27,37;27,02
2024-12-18 19:10:00;27,54;27,58;27,51
2024-12-18 19:00:00;27,58;27,65;27,52
2024-12-18 18:50:00;27,89;28,01;27,78
2024-12-18 18:40:00;28,18;28,2;28,16
2024-12-18 18:30:00;28,27;28,3;28,24
2024-12-18 18:20:00;28,57;28,71;28,43
2024-12-18 18:10:00;28,88;28,97;28,79
2024-12-18 18:00:00;29,15;29,22;29,09
2024-12-18 17:50:00;29,34;29,46;29,23
2024-12-18 17:40:00;29,48;29,74;29,22
2024-12-18 17:30:00;29,75;29,93;29,57
2024-12-18 17:20:00;29,77;30,02;29,53
2024-12-18 17:10:00;29,49;29,68;29,3
2024-12-18 17:00:00;29,47;29,49;29,46
2024-12-18 16:50:00;30,01;30,06;29,96
2024-12-18 16:40:00;29,85;29,91;29,79
2024-12-18 16:30:00;29,9;29,97;29,83
2024-12-18 16:20:00;30,28;30,42;30,15
2024-12-18 16:10:00;30,14;30,17;30,12
2024-12-18 16:00:00;30,47;30,71;30,23
2024-12-18 15:50:00;30,24;30,35;30,13
2024-12-18 15:40:00;29,84;30,42;29,26
2024-12-18 15:30:00;29,59;30,14;29,04
2024-12-18 15:20:00;29,61;30,37;28,85
2024-12-18 15:10:00;29,23;29,36;29,11
2024-12-18 15:00:00;30,25;30,51;30
2024-12-18 14:50:00;29,97;30,03;29,92
2024-12-18 14:40:00;29,86;30,51;29,22
2024-12-18 14:30:00;30,33;30,63;30,04
2024-12-18 14:20:00;29,92;29,93;29,92
2024-12-18 14:10:00;30,42;30,65;30,19
